iter	RMSE
0	43.72745034
1	43.09292174
2	42.49946126
3	41.94942396
4	41.4111647
5	40.93361001
6	40.49023773
7	40.06947243
8	39.67251036
9	39.30042026
10	38.97085058
11	38.66548216
12	38.3670011
13	38.10011458
14	37.85890109
15	37.55864158
16	37.24861396
17	36.96823126
18	36.73765967
19	36.48896728
20	36.29821764
21	36.0487527
22	35.84133413
23	35.66332662
24	35.49467545
25	35.33481861
26	35.16683609
27	35.01663172
28	34.88490865
29	34.74034086
30	34.65492272
31	34.52224608
32	34.41131604
33	34.32978474
34	34.24970443
35	34.13401643
36	34.0519988
37	33.96034173
38	33.85914885
39	33.77092041
40	33.68295786
41	33.61627065
42	33.55171723
43	33.50229217
44	33.44302849
45	33.37863051
46	33.31821092
47	33.2616366
48	33.19033578
49	33.14352427
50	33.09254993
51	33.05570182
52	33.01860444
53	32.99133332
54	32.94409605
55	32.89647827
56	32.84923631
57	32.8158174
58	32.7841186
59	32.74439035
60	32.71975975
61	32.69478161
62	32.66881667
63	32.61564635
64	32.58863628
65	32.56841084
66	32.55406513
67	32.53052484
68	32.50821191
69	32.47978872
70	32.46760621
71	32.45130559
72	32.40447339
73	32.39024575
74	32.38150298
75	32.36013273
76	32.3345795
77	32.31241159
78	32.29683828
79	32.28140283
80	32.27174823
81	32.26631632
82	32.25038257
83	32.23054322
84	32.22478988
85	32.20810207
86	32.20065815
87	32.19277062
88	32.17060416
89	32.14761678
90	32.13022579
91	32.12755518
92	32.12148514
93	32.11389816
94	32.10335893
95	32.09196999
96	32.08686545
97	32.079514
98	32.06153313
99	32.05378713
100	32.03882207
101	32.02809023
102	32.02269971
103	31.99517792
104	31.98591003
105	31.97673435
106	31.94257885
107	31.93155025
108	31.91633122
109	31.90575301
110	31.87600374
111	31.87189437
112	31.8535987
113	31.83619709
114	31.83188021
115	31.8263712
116	31.81779179
117	31.79153089
118	31.77993599
119	31.77333421
120	31.7500707
121	31.74759504
122	31.7464209
123	31.74048206
124	31.7261946
125	31.72279061
126	31.71137465
127	31.70020877
128	31.68237035
129	31.66264463
130	31.64794384
131	31.64717064
132	31.64195957
133	31.63323343
134	31.62211007
135	31.61819234
136	31.59290078
137	31.57716741
138	31.5432567
139	31.53811662
140	31.48807607
141	31.47608478
142	31.42500288
143	31.42088533
144	31.41826685
145	31.40613278
146	31.38971118
147	31.37571805
148	31.36780785
149	31.3587513
150	31.34807235
151	31.33843568
152	31.32879214
153	31.32266221
154	31.31728569
155	31.29772108
156	31.28866354
157	31.26237542
158	31.25720534
159	31.23931625
160	31.23881716
161	31.21862521
162	31.1858477
163	31.16182276
164	31.15377623
165	31.14945348
166	31.13838615
167	31.11783906
168	31.1092853
169	31.10474033
170	31.09939263
171	31.09688482
172	31.0924378
173	31.08624606
174	31.07511969
175	31.06427597
176	31.05541026
177	31.03594864
178	31.02974361
179	31.00507164
180	31.00204668
181	30.99458406
182	30.99107284
183	30.98428402
184	30.98089697
185	30.96276672
186	30.9600739
187	30.94711481
188	30.93531483
189	30.92121239
190	30.91190659
191	30.90665937
192	30.89831454
193	30.88939714
194	30.8754002
195	30.85611126
196	30.84016554
197	30.82142311
198	30.8108595
199	30.80640349
