iter	Passed	Remaining
0	66	13323
1	74	7383
2	81	5362
3	98	4829
4	107	4199
5	115	3720
6	121	3357
7	129	3103
8	136	2886
9	143	2722
10	150	2588
11	158	2475
12	166	2388
13	173	2308
14	179	2215
15	187	2157
16	195	2101
17	201	2041
18	207	1979
19	214	1929
20	220	1883
21	227	1843
22	233	1797
23	241	1770
24	248	1740
25	255	1706
26	262	1682
27	270	1662
28	276	1630
29	283	1605
30	289	1578
31	295	1553
32	303	1535
33	310	1514
34	317	1498
35	326	1485
36	332	1464
37	338	1445
38	347	1433
39	354	1418
40	360	1397
41	367	1383
42	373	1365
43	382	1355
44	389	1343
45	397	1329
46	405	1319
47	413	1309
48	421	1297
49	427	1283
50	435	1272
51	443	1261
52	450	1249
53	456	1233
54	462	1219
55	470	1210
56	478	1199
57	485	1188
58	492	1177
59	500	1168
60	507	1156
61	513	1143
62	522	1135
63	531	1130
64	541	1124
65	550	1116
66	557	1106
67	564	1096
68	573	1088
69	581	1079
70	588	1069
71	596	1060
72	603	1050
73	610	1039
74	616	1027
75	624	1018
76	631	1008
77	637	996
78	642	983
79	648	973
80	655	962
81	662	953
82	671	945
83	677	936
84	685	927
85	691	916
86	695	902
87	702	893
88	708	883
89	715	874
90	721	863
91	727	854
92	736	847
93	743	838
94	751	830
95	760	823
96	765	813
97	770	802
98	776	792
99	781	781
100	789	773
101	796	765
102	803	757
103	809	747
104	817	739
105	824	731
106	832	723
107	837	713
108	844	705
109	846	692
110	855	685
111	865	679
112	872	671
113	880	664
114	888	656
115	897	650
116	905	642
117	911	633
118	918	625
119	927	618
120	934	610
121	940	601
122	947	593
123	952	583
124	961	576
125	967	568
126	974	560
127	981	552
128	987	543
129	994	535
130	1001	527
131	1007	518
132	1015	511
133	1021	503
134	1024	493
135	1031	485
136	1039	477
137	1045	469
138	1050	461
139	1056	452
140	1063	445
141	1069	436
142	1077	429
143	1083	421
144	1088	412
145	1093	404
146	1100	396
147	1108	389
148	1116	382
149	1124	374
150	1133	367
151	1139	359
152	1148	352
153	1155	345
154	1161	337
155	1166	328
156	1172	321
157	1184	314
158	1191	307
159	1199	299
160	1205	291
161	1207	283
162	1209	274
163	1214	266
164	1220	258
165	1226	251
166	1233	243
167	1236	235
168	1244	228
169	1251	220
170	1259	213
171	1266	206
172	1272	198
173	1280	191
174	1287	183
175	1292	176
176	1300	168
177	1308	161
178	1316	154
179	1324	147
180	1331	139
181	1337	132
182	1343	124
183	1350	117
184	1357	110
185	1367	102
186	1373	95
187	1379	88
188	1386	80
189	1392	73
190	1399	65
191	1406	58
192	1413	51
193	1421	43
194	1427	36
195	1434	29
196	1441	21
197	1448	14
198	1456	7
199	1460	0
